word,pos,total,articles
血,名詞,15,14
ニース,名詞,15,15
ルイス,名詞,15,9
妊娠,名詞,15,8
没,名詞,15,12
とる,動詞,15,10
なす,動詞,15,12
不在,名詞,15,13
オリンピック,名詞,15,11
カナダ,名詞,14,10
引き継ぐ,動詞,14,12
功績,名詞,14,9
映画,名詞,14,7
余儀ない,形容詞,14,11
結成,名詞,14,13
軍団,名詞,14,11
統一,名詞,14,14
近代,名詞,14,7
将校,名詞,14,13
末弟,名詞,14,13
令嬢,名詞,14,12
ドロ,名詞,14,5
会う,動詞,14,9
早世,名詞,14,13
早い,形容詞,14,11
展開,名詞,14,12
倒れる,動詞,14,12
クリミア,名詞,14,10
バル,名詞,14,8
総裁,名詞,14,12
平和,名詞,14,12
帰還,名詞,14,12
連れる,動詞,14,13
裁判所,名詞,14,14
モン,名詞,14,5
死別,名詞,14,12
周囲,名詞,14,11
民衆,名詞,14,12
記す,動詞,14,7
長兄,名詞,14,14
直接,名詞,14,13
命名,名詞,14,10
和,名詞,14,12
和解,名詞,14,9
関与,名詞,14,12
婚,名詞,14,8
墺,名詞,14,12
ダン,名詞,14,7
父母,名詞,14,14
虐殺,名詞,14,10
国外,名詞,14,12
内政,名詞,14,8
狩猟,名詞,14,8
留まる,動詞,14,8
レオ,名詞,14,11
大命,名詞,14,2
一人娘,名詞,14,13
銀行,名詞,14,13
自治,名詞,14,4
サー,名詞,14,2
交際,名詞,14,9
敵対,名詞,14,11
確保,名詞,14,9
歓迎,名詞,14,11
初期,名詞,14,11
名目,名詞,14,10
記録,名詞,14,11
もたらす,動詞,14,9
利用,名詞,14,13
マイケル,名詞,14,5
保つ,動詞,13,10
地中海,名詞,13,8
協会,名詞,13,8
青年,名詞,13,12
異母弟,名詞,13,12
貢献,名詞,13,13
赴く,動詞,13,13
継続,名詞,13,11
午後,名詞,13,5
異母,名詞,13,10
週間,名詞,13,13
信仰,名詞,13,8
保守,名詞,13,8
一連,名詞,13,12
号,名詞,13,10
少佐,名詞,13,10
略奪,名詞,13,6
引き換え,名詞,13,10
王権,名詞,13,9
在任,名詞,13,9
報告,名詞,13,5
強化,名詞,13,10
迫る,動詞,13,12
郊外,名詞,13,13
引き取る,動詞,13,10
否定,名詞,13,10
近郊,名詞,13,12
エステ,名詞,13,9
官職,名詞,13,8
及ぶ,動詞,13,11
伝える,動詞,13,12
級,名詞,13,7
有利,名詞,13,10
后,名詞,13,8
メンバー,名詞,13,12
長子,名詞,13,12
名付ける,動詞,13,12
中央,名詞,13,9
アリス,名詞,13,6
和睦,名詞,13,6
郡,名詞,13,11
世襲,名詞,13,8
突撃,名詞,13,7
姿勢,名詞,13,10
発言,名詞,13,11
隊長,名詞,13,11
噂,名詞,13,12
障害,名詞,13,10
式典,名詞,13,8
孫娘,名詞,13,12
召集,名詞,13,8
巡る,動詞,13,11
悪い,形容詞,13,12
感じる,動詞,13,9
解消,名詞,13,9
西,名詞,13,12
葬儀,名詞,13,11
内戦,名詞,13,12
トスカーナ,名詞,13,12
言葉,名詞,13,12
コンラート,名詞,13,5
莫大,名詞,13,12
態度,名詞,13,10
先立つ,動詞,13,12
援軍,名詞,13,9
ソフィア,名詞,13,9
ダニエル,名詞,13,2
優れる,動詞,13,9
訴える,動詞,13,10
ナチ,名詞,13,4
トルコ,名詞,13,8
成長,名詞,13,11
サンクトペテルブルク,名詞,13,4
脅威,名詞,13,10
セル,名詞,13,12
スポーツ,名詞,13,9
直前,名詞,12,12
戦功,名詞,12,6
フォード,名詞,12,7
中佐,名詞,12,10
普,名詞,12,10
英雄,名詞,12,8
法定,名詞,12,9
存命,名詞,12,8
同日,名詞,12,7
廷臣,名詞,12,10
カトリーヌ,名詞,12,6
応じる,動詞,12,11
両者,名詞,12,11
広い,形容詞,12,10
イートン,名詞,12,9
収入,名詞,12,3
近い,形容詞,12,11
シモン,名詞,12,5
参列,名詞,12,11
攻勢,名詞,12,3
乱,名詞,12,8
遺産,名詞,12,11
宗主,名詞,12,9
帰る,動詞,12,10
辞令,名詞,12,5
家名,名詞,12,8
優勢,名詞,12,11
フランソワーズ,名詞,12,9
研究,名詞,12,8
艇,名詞,12,5
制度,名詞,12,8
主,名詞,12,11
中隊,名詞,12,7
解任,名詞,12,8
分割,名詞,12,9
制限,名詞,12,10
人間,名詞,12,7
付近,名詞,12,8
見なす,動詞,12,11
見せる,動詞,12,10
かかる,動詞,12,11
ガーター,名詞,12,11
税,名詞,12,6
途中,名詞,12,10
襲撃,名詞,12,11
進出,名詞,12,4
独身,名詞,12,11
費,名詞,12,8
行為,名詞,12,11
アルベルト,名詞,12,4
担当,名詞,12,11
うえ,名詞,12,7
ロバート,名詞,12,9
投獄,名詞,12,12
塔,名詞,12,8
現れる,動詞,12,12
損害,名詞,12,8
リュクサンブール,名詞,12,7
バント,名詞,12,8
拠点,名詞,12,11
過ぎる,動詞,12,11
話す,動詞,12,11
争い,名詞,12,11
戦略,名詞,12,9
排除,名詞,12,5
ベルト,名詞,12,6
任務,名詞,12,7
発布,名詞,12,5
好む,動詞,12,11
グレイ,名詞,12,4
演説,名詞,12,5
病死,名詞,12,10
越える,動詞,12,7
引退,名詞,12,12
フラン,名詞,12,6
付ける,動詞,12,9
疑う,動詞,12,12
配属,名詞,12,9
ポンド,名詞,11,8
祖国,名詞,11,10
避ける,動詞,11,9
感情,名詞,11,9
家系,名詞,11,10
違う,動詞,11,9
寛容,名詞,11,8
握る,動詞,11,11
台頭,名詞,11,10
アメリカ合衆国,名詞,11,9
撃退,名詞,11,6
評議,名詞,11,5
末期,名詞,11,11
寵臣,名詞,11,8
中立,名詞,11,8
自殺,名詞,11,9
問う,動詞,11,10
指示,名詞,11,7
兵力,名詞,11,6
戻す,動詞,11,9
ラテン,名詞,11,7
固める,動詞,11,9
失脚,名詞,11,9
薨去,名詞,11,8
蘭,名詞,11,5
特権,名詞,11,5
きっかけ,名詞,11,11
画策,名詞,11,10
風,名詞,11,10
在職,名詞,11,7
行政,名詞,11,10
拒む,動詞,11,8
王朝,名詞,11,10
抗争,名詞,11,6
場所,名詞,11,10
売却,名詞,11,9
阻止,名詞,11,7
嫁ぐ,動詞,11,8
慈善,名詞,11,11
ジョーン,名詞,11,5
